product_id,store_name,state,zipcode,qty,sales,import_order,created_time
GL22BLKS1,LOWE'S OF GUNTERSVILLE, AL,AL,35976,12,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MADISON, AL,AL,35758,12,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF DECATUR, AL,AL,35601,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HUNTSVILLE, AL,AL,35803,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TULLAHOMA, TN,TN,37388,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF YORK, SC,SC,29745,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF GLOUCESTER, VA,VA,23061,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF WILLIAMSBURG, VA,VA,23188,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SHREVEPORT, LA,LA,71118,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SE SHREVEPORT, LA,LA,71105,15,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BOSSIER CITY, LA,LA,71111,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MARSHALL, TX,TX,75670,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF RUSTON, LA,LA,71270,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MT. PLEASANT, TX,TX,75455,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TEXARKANA, TX,TX,75501,8,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BUFORD, GA,GA,30519,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF JOHN'S CREEK, GA,GA,30024,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CORNELIA, GA,GA,30531,13,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SNELLVILLE, GA,GA,30078,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CUMMING, GA,GA,30041,2,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF GAINESVILLE, GA,GA,30504,28,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SUWANEE, GA,GA,30024,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF LOGANVILLE, GA,GA,30052,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF NORCROSS, GA,GA,30071,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF WETUMPKA, AL,AL,36092,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF OPELIKA, AL,AL,36801,3,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF N. COLUMBUS, GA,GA,31909,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ENTERPRISE, AL,AL,36330,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF INVERNESS, AL,AL,35242,10,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TROY, AL,AL,36081,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PRATTVILLE, AL,AL,36066,22,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF ALABASTER, AL,AL,35007,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. MONTGOMERY, AL,AL,36117,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HOOVER, AL,AL,35244,10,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PULASKI COUNTY, VA,VA,24141,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PRINCETON, WV,WV,24740,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF CHRISTIANSBURG, VA,VA,24073,16,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF SALEM, VA,VA,24153,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF E. ROANOKE, VA,VA,24012,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. ROANOKE, VA,VA,24018,14,0,1,2024-12-27 00:10:25
